Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
The George a V Dunning Foundation C/o Dean Bryant Keith Alexander Lmu,,1 Lmu Dr,,Los Angeles,CA,90045-2623,United States,310-338-2920,,,,12470471,226789,7224748,18,0
Audacious Foundation,,PO Box 91340,,Santa Barbara,CA,93190-1340,United States,805-564-2186,,,http://www.audaciousfoundation.org,3125552,1260617,7210072,218,0
John Christopher Bunting Foundation,,532 2nd St E,,Sonoma,CA,95476-6712,United States,707-996-4602,,,,702722,64500,491000,29,0
Christ-Centered Ministries,"Jameese Smith, Chief Operating Officer; James O. Phillips, Chief Financial Officer; Jason Taylor, Marketing And Data Analyst",PO Box 4153,,Inglewood,CA,90309-4153,United States,310-672-4078,,mktg@4ccm.org,HTTPS://WWW.CHRISTCENTEREDMINISTRIES.ORG,4984575,,490000,49,0
Jj O'neill Foundation,,4180 Ruffin Rd Ste 255,,San Diego,CA,92123-1881,United States,858-395-5585,,,,8109004,250490,489045,10,0
Stewardship Services Foundation,,26355 Rainbow Glen Dr,,Newhall,CA,91321-1395,United States,661-568-6801,,,https://www.tri-cityherald.com,1952734,176400,489042,11,0
C a M Johnson Family Foundation,,25578 Via Paladar,,Valencia,CA,91355-3154,United States,661-254-1139,,,,676941,6000,489000,20,0
Foundation for Clovis Schools,"Charity Susnick, Resource Specialist Ii, Foundation And Marketing",1450 Herndon Ave,,Clovis,CA,93611-0567,United States,559-327-9090,559-327-2957,charitysusnick@cusd.com,http://WWW.FOUNDATIONFORCLOVISSCHOOLS.COM,7991594,179464,488903,5,0
The Aaron and Marie Blackman Foundation Inc C/o Stuart Weinstein,,961 Huntington Way,,Walnut Creek,CA,94596-5809,United States,650-589-5111,,,,7548598,534000,488500,51,0
The Endurance Fund,,4749 Nicasio Valley Rd,,Nicasio,CA,94946-9743,United States,415-302-7578,,,,,6242328,488069,57,0
Jean Bedecarrax Scholarship Trust,,4460 Redwood Hwy # 16-0,,San Rafael,CA,94903-1951,United States,415-462-0885,,,,2831163,95009,488009,6,0
National University Virtual High School,,9388 Lightwave Ave,,San Diego,CA,92123-1426,United States,8586428100,,info@nuvhs.org,http://WWW.NUVHS.ORG,,,487921,2,0
Penney Family Fund,,127 University Ave,,Berkeley,CA,94710-1616,United States,510-841-4193,(510) 834-2998,info@commoncounsel.org,http://WWW.COMMONCOUNSEL.ORG,6858005,892000,487500,32,0
Mk Level Playing Field Institute DBA SMASH,,2148 Broadway,,Oakland,CA,94612-2310,United States,510-488-6600,(415) 946-3001,info@smash.org,http://WWW.SMASH.ORG,5226084,438089,487500,2,0
Sheryl & Harvey White Foundation,,473 W Ocean View Ave,,Del Mar,CA,92014-3632,United States,8587290442,,,,678296,134100,487363,26,0
The Thursday Club Foundation,,1224 Santa Barbara St,,San Diego,CA,92107-3944,United States,858-756-8887,,lauriepieratt@yahoo.com,https://www.thethursdayclub.org/foundation/,483447,231904,487311,41,0
California Historical Society,"Don Spradlin, Major Gifts Officer",678 Mission St,,San Francisco,CA,94105-4014,United States,,,info@calhist.org,http://www.californiahistoricalsociety.org,3179227,,487309,1,0
Zoological Society of San Diego DBA San Diego Zoo Wildlife Alliance,"Scott Kanuha, Director Of Donor Services; Scott Kanuha, Senior Director Of Philanthropy Administration",2920 Zoo Dr,,San Diego,CA,92101-1646,United States,619-231-1515,619-231-3954,skanuha@sandiegozoo.org,https://www.sdzwa.org,954802422,4658824,487294,18,0
Verity Medical Foundation Howard B Grobstein Liquidating Trustee,,6300 Canoga Ave # 1500w,,Woodland Hills,CA,91367-2555,United States,818-532-2200,,,HTTPS://WWW.VERITY.ORG,,,487255,1,0
The David W Mills Foundation,,1130 S Flower St Apt 312,,Los Angeles,CA,90015-2143,United States,323-987-5780,,,,15027,127500,487015,14,0
Eastern Plumas Hospital Auxiliary,,116 Commercial St,,Portola,CA,96122-9636,United States,530-832-5967,,,http://www.ephcauxiliary.org,230981,114997,486672,3,0
Site K Inc,,350 California St Fl 16,,San Francisco,CA,94104-1402,United States,415-989-1111,,,,76551,77546,486450,6,0
Water Buffalo Club Inc,,16530 Ventura Blvd Ste 305,,Encino,CA,91436-4594,United States,3105568100,,,http://www.waterbuffaloclub.com,299990,267401,486442,14,0
Yuba Community College District Foundation,,3301 E Onstott Rd,,Yuba City,CA,95991-8829,United States,530-741-6987,530-741-6987,jlowden@yccd.edu,https://yccdfoundation.org/,10780574,220064,485784,3,0
The Crary Social Ecology Fund,,389 Molino Ave,,Mill Valley,CA,94941-3301,United States,650-455-2651,,,,1869878,753799,485621,26,0
Toeniskoetter Family Foundation,,1960 The Alameda Ste 20,,San Jose,CA,95126-1441,United States,,,,,1656679,221500,485500,15,0
Lui Foundation,,433 California St Ste 700,,San Francisco,CA,94104-2011,United States,415-982-1321,,,,8268853,247072,485480,14,0
Ud Ld & Ll Mellam for Family FND,"Tracy Rogers, Executive Director",PO Box 610091,,Redwood City,CA,94061-0091,United States,650-366-6419,,info@mellam.org,http://WWW.MELLAM.ORG,16595668,563500,485000,30,0
Joel and Dena Gambord Foundation,,PO Box 222940,,Carmel,CA,93922-2940,United States,831-626-6331,,,,472000,25000,485000,3,0
Myrtle L Atkinson Foundation,,5 Pembroke Pl,,Menlo Park,CA,94025-5859,United States,650-322-6565,,pembrokepl@mindspring.com,,9834842,457000,484500,64,0
Tyler Foundation,,PO Box 596,,Pebble Beach,CA,93953-0596,United States,8165316323,,,,6963694,326000,484454,54,0
North Coast Christian Ministries Inc DBA Hope for San Diego,,4075 Park Blvd Ste 102-348,,San Diego,CA,92103-2670,United States,(760) 230-3035,,info@hopeforsd.org,http://www.hopeforsd.org,194198,471927,484300,23,0
Kathy Simon Family Foundation,,620 Newport Center Dr Fl 12th,,Newport Beach,CA,92660-8012,United States,9493733500,,,http://WWW.SIMONSCHOLARS.ORG,7639915,1849170,484225,138,0
Ken Panzer Foundation,,12759 Chalon Rd,,Los Angeles,CA,90049-1250,United States,609-274-6834,,,,32523454,847256,483856,2,0
Jack and Goldie Nomberg Foundation,,628 21st St,,Santa Monica,CA,90402-3036,United States,310-963-7657,,,,13162943,437000,483775,8,0
Downey Kiwanis Foundation,,PO Box 793,,Downey,CA,90241-0793,United States,,,,,5609869,238333,483735,43,0
Wescom Foundation,"Alfredo Olvera, Senior Development And Grants Manager",123 S Marengo Ave,,Pasadena,CA,91101-2428,United States,888-493-7266,,aolvera@wescom.org,https://www.wescom.org/About-Us/Foundation,285591,1136700,482992,23,0
The Meta & George Rosenberg Foundation,,2049 Century Park E Ste 1400,,Los Angeles,CA,90067-3116,United States,323-634-2400,,,,3777943,229625,482700,28,0
Martin & Illie Anderson Foundation Co W F Docker,,7647 N Fresno St,,Fresno,CA,93720-2578,United States,559-433-1300,,,,3341407,275000,482646,11,0
Sherwood Foundation Tr,,17651 Corinthian Dr,,Encino,CA,91316-3702,United States,818-687-5467,,,,891780,125000,482300,27,0
The Plumpjack Foundation,,3201 Fillmore St,,San Francisco,CA,94123-3402,United States,415-346-5712,,,http://WWW.PLUMPJACKFOUNDATION.ORG,400484,160238,481393,14,0
Jeremy Lin Foundation,,3790 El Camino Real Unit 194,,Palo Alto,CA,94306-3314,United States,800-839-1754,,,http://www.jeremylinfoundation.org,11878747,821000,480573,14,0
Los Angeles Lakers Youth Foundation,,2275 E Mariposa Ave,,El Segundo,CA,90245-5029,United States,310-426-6000,,,,2064742,450107,480048,39,0
Coyote Foundation C/o Coyote Properties LLC,,55 Las Colinas Ln,,San Jose,CA,95119-1214,United States,408-227-3440,,,,,4309159,480000,4,0
Attias Family Foundation,Freedman Broder Company Freedman Broder Company,11100 Santa Monica Blvd Ste 400,,Los Angeles,CA,90025-0520,United States,310-734-1234,,freedmanbroder@gmail.com,,7519837,1025500,479928,62,0
Foundation for Cottage Rehab and Goleta Valley Cottage Hosp,Danielle Kent,Attn Finance Dept PO Box 689,,Santa Barbara,CA,93102,United States,805-287-6903,805-5698936,dkent@sbch.org,http://www.cottagehealth.org/donate/cottage-rehabilitation-hospital-foundation/,32627404,216099,479869,4,0
Healthy Earthworks Charitable Foundation,,PO Box 25,,Loma Mar,CA,94021-0025,United States,6508790206,,,,3137544,228420,479365,37,0
Institute for Healthcare Advancement,,50 S Anaheim Blvd Ste 200,,Anaheim,CA,92805-2961,United States,562-690-4001,(562) 690-8988,info@iha4health.org,http://WWW.IHA4HEALTH.ORG,23668312,15000,479291,4,0
The Ken and Julie Moelis Foundation C/o Baker Tilly,,11150 Santa Monica Blvd Ste 600,,Los Angeles,CA,90025-0479,United States,310-826-4474,,,,6510952,546525,477815,26,0
Peralta Colleges Foundation,,333 E 8th St,,Oakland,CA,94606-2844,United States,510-587-7809,,info@peraltafoundation.org,HTTP://PERALTAFOUNDATION.ORG,2927152,625393,477517,14,0
The Stephens Family Foundation,,PO Box 3849,,Fullerton,CA,92834-3849,United States,9095916810,,,,8950623,347500,477500,13,0
University of Northern California Foundation,,2108 N St Ste N,,Sacramento,CA,95816-5712,United States,707-774-6644,,,,6749241,,477463,3,0
Howard W Hunter Foundation,,3570 Landfair Rd,,Pasadena,CA,91107-2117,United States,213-629-7747,,,http://HOWARDHUNTERFOUNDATION.ORG,1185946,175611,476640,7,0
Mizel Family Foundation,,1050 W Potrero Rd,,Thousand Oaks,CA,91361-5053,United States,805-402-7701,,,,10420001,478500,476500,10,0
Pennington Family Foundation,,12304 4th Helena Dr,,Los Angeles,CA,90049-3929,United States,310-231-1999,,,,3935627,177500,476398,18,0
Pasadena Tournament of Roses Foundation,"April Hood, Administrative Manager; Edward Corey, Executive Director",391 S Orange Grove Blvd,,Pasadena,CA,91184-0001,United States,626-449-4100,626-449-9066,foundation@tournamentofroses.org,http://WWW.PASADENATOURNAMENTOFROSES.COM,3982612,242105,476277,52,0
Virginia L Jones Foundation,,180 Montgomery St Ste 1616,,San Francisco,CA,94104-4235,United States,4153649700,,,,1730009,105000,476000,34,0
The Gordon T and Melissa a Egan Family Foundation,,PO Box 1537,,Lodi,CA,95241-1537,United States,209-466-2411,,,,2904054,83783,475877,62,0
Everest Edwin Foundation,,11766 Wilshire Blvd Ste 405,,Los Angeles,CA,90025-6573,United States,310-477-7800,,,,,759397,475706,8,0
The Stein Family Foundation,,11027 Noble Ln # 137,,San Diego,CA,92131-1674,United States,858-293-3037,,,,4572496,209200,475460,102,0
John L Carleton Foundation,,PO Box 21315,,Santa Barbara,CA,93121-1315,United States,805-682-1435,,,http://caboodlehouse.com,1717592,95000,475250,33,0
Harmon Recovery Foundation,,49500 Marne Ct,,La Quinta,CA,92253-8141,United States,760-772-6072,,,http://WWW.HARMONRECOVERYFOUNDATION.COM,335849,256010,475010,10,0
Marino Family Charitable Foundation Inc,,1819 Polk St # 325,,San Francisco,CA,94109-3003,United States,415-960-8843,,,https://www.wellsfargo.com/private-foundations/marino-family-charitable-foundation/,4229369,165000,475000,32,0
Jacob K Javits Foundation Inc,,Co C Javits 269 Amherst Avenue Kensington Ca 94708,,Kensington,CA,94708,United States,5105070222,,,,1617008,122000,475000,9,0
Behring Foundation,,PO Box 807,,Danville,CA,94526-0807,United States,925-736-9816,,,,,181,474900,6,0
The Diane Warren Foundation,,1880 Century Park E Ste 1600,,Los Angeles,CA,90067-1661,United States,310-553-1707,,,,8622335,650092,474320,36,0
Bergman Family Foundation,,1217 Emerald Bay,,Laguna Beach,CA,92651-1262,United States,9494946046,,,,4437160,154800,473900,49,0
Correll Foundation Co Curtis Correll Jr,,9417 La Tuna Canyon Rd,,Sun Valley,CA,91352-2229,United States,213-849-1314,,,,,51000,473800,30,0
Fred R Muhs Family Foundation,,6 Sotelo Ave,,Piedmont,CA,94611-3535,United States,(415) 433-1900,,,,1557180,83500,473500,47,0
Christen C and Ben H Garret Familyfoundation,,1020 Huntington Dr,,San Marino,CA,91108-1828,United States,626-282-8431,,,,4849477,205000,473350,62,0
Cs Fund,Ramona Allen,245 Kentucky St Ste E,,Petaluma,CA,94952-2877,United States,707-874-2942,(707) 874-1734,inquiries@csfund.org,http://WWW.CSFUND.ORG,6843159,5136350,473120,18,0
Daniel a & Edna J Sattler Beneficial Trust C/o Price Postel & Parma LLP,,200 E Carrillo St Ste 400,,Santa Barbara,CA,93101-7144,United States,805-962-0011,,,,3990269,158000,473100,21,0
James J Cotter Foundation,,2818 Dumfries Rd,,Los Angeles,CA,90064-4413,United States,310-710-3637,,,,5158199,261000,472644,38,0
Ray and Janet Scherr Foundation,,9100 Wilshire Blvd Ste 1000w,,Beverly Hills,CA,90212-3463,United States,805-371-9205,,,,2124008,100500,472500,44,0
Donna L and Edward E Martins Foundation,,4423 Deer Ridge Rd,,Danville,CA,94506-6019,United States,5105373477,,,,3256936,37931,472444,17,0
Eduligion Foundation,,5319 University Dr Ste 201,,Irvine,CA,92612-2965,United States,949-933-9328,,,,2602463,104775,472188,7,0
The Michael & Patricia Smith Foundation,,4427 Woodleigh Ln,,La Canada Flintridge,CA,91011-3542,United States,323-681-5571,,,,456127,277500,472000,150,0
Wagner Ranch Parents' Club Inc,,350 Camino Pablo,,Orinda,CA,94563-1602,United States,925-258-0016,,,http://www.orindaschools.org/wagnerranch,1639797,233707,471776,2,0
The Elizabeth Foundation,,11150 Santa Monica Blvd Ste 600,,Los Angeles,CA,90025-0479,United States,970-948-1181,,,,6912643,434402,471500,22,0
The Fitzpatrick Fund,,822 Northridge Dr,,Redding,CA,96001-0144,United States,530-941-9197,,,,,,470718,37,0
Rags for Riches Foundation,,10119 Jefferson Blvd,,Culver City,CA,90232-3519,United States,310-733-2100,,,HTTP://WWW.RAGSFORRICHES.ORG/,107286,122400,470500,25,0
Western States Regional Council of Carpenters,,533 S Fremont Ave Fl 10,,Los Angeles,CA,90071-1712,United States,213-385-1457,,,http://www.wscarpenters.org,367841374,1751858,470500,11,0
Jane Wyman Charitable Foundation FBO So Calif Chapter Arthritis Foundation,,10100 Santa Monica Blvd Ste 2200,,Los Angeles,CA,90067-4120,United States,310-282-2090,,,,293026,,470000,3,0
De La Luz Family Foundation,,1843 E Fir Ave Ste 102,,Fresno,CA,93720-3863,United States,559-451-3411,,,,1105889,367918,469751,26,0
Avery-Fuller-Welch Childrens Foundation,,1660 Bush St # 300,,San Francisco,CA,94109-5308,United States,415-561-6540,(415) 561-5477,elingren@pfs-llc.net,http://www.afwchildrensfoundation.org,6477015,272803,469596,49,0
World Wildlife and Natural History Museum of Sacramento,,5150 Madison Ave,,Sacramento,CA,95841-3002,United States,916-334-7397,,,,,472719,469469,3,0
The Los Angeles Fund for Public Education,"Melissa Infusino, Executive Director",202 W 1st St Ste 160,,Los Angeles,CA,90012-4055,United States,213-745-4928,,info@lafund.org,http://WWW.LAFUND.ORG,,262336,468560,2,0
Milano Foundation Inc C/o Lisa Brinig,,11512 El Camino Real Ste 370,,San Diego,CA,92130-3025,United States,858-433-9017,,,,500711,120250,468538,30,0
The Solomon R & Rebecca D Baker Foundation,,614 N Alpine Dr,,Beverly Hills,CA,90210-3304,United States,310-276-1070,,,,193262,6598457,468500,15,0
John & Beverly Stauffer Foundation,,155 N Lake Ave Fl 11,,Pasadena,CA,91101-2333,United States,805-797-0987,,,,5285582,221000,468475,67,0
New Hope Foundation,,6029 Bristol Pkwy Ste 200,,Culver City,CA,90230-6651,United States,310-473-6575,,,,890281,225000,468445,3,0
President-Board of Trustees Santa Clara College,Amanda Struer,500 El Camino Real,,Santa Clara,CA,95053-1000,United States,408-554-4400,,dstruer@scu.edu,http://www.scu.edu,2898674493,127264480,468160,25,0
"New Harvest, Inc.","Isha Datar, Executive Director",1401 21st St Ste 4556,,Sacramento,CA,95811-5226,United States,213-454-3554,,isha@new-harvest.org,http://www.new-harvest.org,7086032,693298,467864,6,0
"Center for AIDS Research, Education and Services",,1500 21st St,,Sacramento,CA,95811-5216,United States,9164433299,,,http://www.carescommunityhealth.org,64133564,1237150,467419,9,0
California Professional Firefighters,,1780 Creekside Oaks Dr,,Sacramento,CA,95833-3633,United States,916-921-9111,,,http://CPF.ORG,8471969,58537,467144,9,0
Mark & Semira Moshayedi Family Foundation,,7 Pelican Crest Dr,,Newport Coast,CA,92657-1804,United States,9498732400,,,,40617,333161,467000,16,0
George B Page Foundation,,PO Box 1299,,Santa Barbara,CA,93102-1299,United States,805-730-3631,,,,4544387,226000,466750,50,0
Phyllis C Wattis Foundation,,1660 Bush St # 300,,San Francisco,CA,94109-5308,United States,415-561-6540,(415) 986-1547,info@wattisfoundation.org,http://www.phylliscwattisfoundation.o,9070676,531000,466750,27,0
The Eleftheria Foundation,,636 Alvarado Row,,Stanford,CA,94305-8506,United States,650-721-2195,,,,8145653,450000,466522,4,0
Keesal Young & Logan Charitable Foundation,,310 Golden Shr Ste 400,,Long Beach,CA,90802-4232,United States,562-436-2000,,,,230,117098,466022,279,0
The Dorothy Phillips Michaud Charitable Trust,,6310 San Vicente Blvd Ste 250,,Los Angeles,CA,90048-5447,United States,323-934-0200,,,,5077099,262500,466000,52,0
The Scially Family Foundation,,PO Box 1558,,Ross,CA,94957-1558,United States,415-256-9240,,,,31899,4660,465660,12,0
Peak Hope Foundation,,3401 N Harbor Blvd,,Fullerton,CA,92835-1643,United States,7143986314,,,,59698,10400,18000,2,0
Shane Mcconkey Foundation,,PO Box 3666,,Olympic Valley,CA,96146-3666,United States,530-583-5275,,,http://WWW.SHANEMCCONKEY.ORG/FOUNDATION,619952,52389,18000,2,0
Calif Assoc of Professional Scientists,,1618 Alhambra Blvd Unit 161086,,Sacramento,CA,95816-7644,United States,916-441-2629,,,http://WWW.CAPSSCIENTISTS.ORG,2502533,54400,18000,1,0
Charities Housing Development Corp of Santa Clara County,"Mark Mikl, Interim Executive Director",1400 Parkmoor Ave Ste 190,,San Jose,CA,95126-4893,United States,408-550-8301,408-550-8339,mmikl@charitieshousing.org,http://WWW.CHARITIESHOUSING.ORG,189452412,73500,18000,1,0
Homies Unidos Inc,Alex Sanchez,2105 Beverly Blvd Ste 203,,Los Angeles,CA,90057-2267,United States,213-383-7484,,asanchez@homiesunidos.org,http://www.homiesunidos.org,388900,,18000,1,0
Los Angeles Sports Council Foundation,,2201 Rosecrans Ave Fl 2,,El Segundo,CA,90245-4900,United States,213-580-7521,2134826340,,http://www.lasports.org/,537901,152050,18000,1,0
Rose Marie Piper Foundation,,1256 Bragg St,,Sonoma,CA,95476-7538,United States,707-996-4535,,,,1918131,141000,18000,1,0
Shi Yin Wong and Wah Lam Foundation,,PO Box 81180,,San Marino,CA,91118-1180,United States,,,,,16512123,,18000,1,0
Theresa Hessling Charter School Project DBA San Diego Cooperative Charters,,7260 Linda Vista Rd,,San Diego,CA,92111-6128,United States,858-496-1613,,,http://WWW.SDCCS.ORG,5642268,,18000,1,0
Agua Dulce Airport Community Association,,15853 Olden St,,Rancho Cascades,CA,91342-1249,United States,818-364-1611,,,,,12009,18009,2,0
Saddle & Sirloin Club,,PO Box 2496,,Palos Verdes Peninsula,CA,90274-8496,United States,310-378-1248,,,,623271,,18010,2,0
Mccauley Mills Organization,,1700 N Allen Ave,,Pasadena,CA,91104-1610,United States,626-797-1586,,,,4248766,75105,18025,5,0
Julie and Ray Craemer Family Foundation,,17707 Crenshaw Blvd Ste 200,,Torrance,CA,90504-4135,United States,310-217-9832,,,,1509698,44620,18057,30,0
Jones-Smith Foundation,,575 Redwood Hwy Frontage Rd Ste 200,,Mill Valley,CA,94941-3047,United States,415-389-5223,,,,2019319,96600,18080,23,0
Khatri Family Foundation Inc,,1608 Sunrise Ave Ste 6,,Modesto,CA,95350-4678,United States,209-521-6260,,,,322714,31065,18120,7,0
Ross Family Legacy Foundation Charitable Trust Dtd 01-16-09,,12752 Valley View St Ste E,,Garden Grove,CA,92845-2500,United States,626-485-0392,,,https://wrffoundation.com,,,18180,5,0
The Glad Foundation,,2560 Peninsula Rd,,Oxnard,CA,93035-2923,United States,805-382-1644,,,,87223,9000,18200,10,0
The Johnny Damon Foundation Inc,,1204 Suncast Ln Ste 2,,El Dorado Hills,CA,95762-9665,United States,916-933-8251,,,http://WWW.JOHNNYDAMONFOUNDATION.ORG,,,18200,5,0
Santa Barbara Rotary Charitable Foundation,,PO Box 6268,,Santa Barbara,CA,93160-6268,United States,805-698-9947,,,http://WWW.SBROTARY.COM,740483,43004,18220,3,0
Naumann-Etienne Foundation,,4400 Keller Ave # 412,,Oakland,CA,94605-4281,United States,5103162052,,,,1998707,65846,18225,1,0
Gertler Family Foundation,,149 S Barrington Ave #,,Los Angeles,CA,90049-3310,United States,310-923-4286,,,,,760,18235,4,0
Five Arts Foundation,,PO Box 460908,,San Francisco,CA,94146-0908,United States,415-647-1340,,,,76789,341390,18250,5,0
Fillman Foundation,,PO Box 459,,Fair Oaks,CA,95628-0459,United States,916-631-4379,,,,17596,15000,18250,3,0
San Jose Medical Research Foundation,,400 Race St,,San Jose,CA,95126-3447,United States,4082783072,,,,,114086,18269,1,0
Technology Credit Union,,2010 N 1st St Ste 301,,San Jose,CA,95131-2042,United States,408-451-9111,,,http://WWW.TECHCU.COM,4826094258,29623,18298,1,0
Kalele Foundation,,26435 Ascension Dr,,Los Altos Hills,CA,94022-2534,United States,650-941-8101,,,,270060,3750,18307,26,0
The Alphonse J Pauchon Research Foundation,,17760 Monterey St,,Morgan Hill,CA,95037-7304,United States,408-779-1024,,,http://WWW.PAUCHONFOUNDATION.ORG,3120542,,18315,5,0
Ruth 212 Foundation Inc,,631 Elinor Dr,,Fullerton,CA,92835-1824,United States,714-441-1051,,,,,24115,18325,2,0
Westwood Village Rotary Club Foundation,,PO Box 24114,,Los Angeles,CA,90024-0114,United States,310-274-1369,,,http://WVRC.NET,1324766,105144,18335,3,0
Happy Willow Foundation,,1368 Lillian Ave,,Sunnyvale,CA,94087-3522,United States,415-362-5990,,,,511151,18340,18340,1,0
The Bunnie and Jerome Sachs Family Foundation,,310 Rydal Ave,,Mill Valley,CA,94941-3441,United States,415-383-4248,,,,200021,19100,18350,38,0
The Judi Kaplan Foundation Inc C/o Idl Certified Public Accountants LLP,,19360 Rinaldi St # 522,,Porter Ranch,CA,91326-1607,United States,818-963-9445,,,,225360,3800,18350,13,0
Joseph I. Friedrich Foundation,,760 Las Posas Rd Ste B1,,Camarillo,CA,93010-2910,United States,(805) 445-7121,,,,,,18350,2,0
The Old Bofie Foundation,,,,FAIRFIELD,CA,94533,United States,510-669-9351,,,,,18367,18367,1,0
Idealab Charitable Foundation LLC,,130 W Union St,,Pasadena,CA,91103-3628,United States,626-585-6900,,,,15964,10000,18375,12,0
Arp Family Foundation,,PO Box 545,,Weimar,CA,95736-0545,United States,5306374923,,,,,27000,18408,4,0
Sai Shiva Charitable Trust,,6869 Verde Ridge Rd,,Rancho Palos Verdes,CA,90275-4637,United States,310-936-8177,,,,10908,100096,18420,5,0
The Alexandra and Spencer Wells Charitable Foundation,,2935 Pacific Ave,,San Francisco,CA,94115-1011,United States,203-542-4065,,,,196977,152662,18449,5,0
Stiassni Family Foundation,,3400 Palos Verdes Dr W,,Rancho Palos Verdes,CA,90275-4448,United States,310-739-4445,,,,,3725,18450,22,0
Jerome and Sonya Hollander Family Foundation,,27001 Agoura Rd Ste 280,,Agoura Hills,CA,91301-5139,United States,818-914-7100,,,,135,,18450,14,0
Hall Charitable Foundation,,1968 S Coast Hwy,,Laguna Beach,CA,92651-3681,United States,949-702-3501,,,,1291833,58070,18500,22,0
The Wolfe Foundation,,1514 Brandywine Rd,,San Mateo,CA,94402-3803,United States,(650) 701-2206,,,,373012,30000,18500,20,0
Burnam Charitable Foundation,,1950 E 220th St Ste 301,,Long Beach,CA,90810-1650,United States,3103928185,,,,1845168,155600,18500,19,0
Cfw Foundation,,2163 Harbor Bay Pkwy,,Emeryville,CA,94502-3019,United States,510-596-8170,,,,,40250,18500,9,0
The Trealoff Family Foundation,,5225 Canyon Crest Dr # 71-648,,Riverside,CA,92507-6301,United States,951-684-6868,,,http://WWW.guidestar.org,54526,,18500,5,0
Wjo Foundation,,12655 Beatrice St,,Los Angeles,CA,90066-7003,United States,310-448-6800,,,,27808845,827200,18500,5,0
Quint Family Foundation Inc,,6648 Zumirez Dr,,Malibu,CA,90265-4313,United States,305-467-4018,,,,3950487,281200,18500,4,0
Wueste Family Foundation,,PO Box 3697,,Rancho Santa Fe,CA,92067-3697,United States,858-400-1305,,,http://FCONLINE.FOUNDATIONCENTER.ORG,,,18500,4,0
CENTER FOR MEDIA JUSTICE,,436 14th St Ste 500,,Oakland,CA,94612-2708,United States,510-698-3800,510-251-9810,info@centerformediajustice.org,http://www.mediajustice.org,6538252,73500,18500,3,0
The Mike & Evelyn Walsh Foundation,,13235 Grass Valley Ave,,Grass Valley,CA,95945-9556,United States,5302731047,,,,1837130,90666,18500,3,0
The Sydney and Billy Bush Foundation,,6300 Wilshire Blvd Ste 880,,Los Angeles,CA,90048-5241,United States,323-852-0200,,,,,6053,18500,3,0
The Clinton Hill allen Tran Foundation,,69730 Highway 111 Ste 208,,Rancho Mirage,CA,92270-2876,United States,212-752-1123,,,,380979,36640,18500,2,0
Tulare Rotary Foundation,,PO Box 440,,Tulare,CA,93275-0440,United States,559-300-8424,,,http://tularerotary.org,289969,63900,18500,1,0
Sun and Moon Foundation,,20885 Wardell Rd,,Saratoga,CA,95070-3722,United States,408-568-6268,,,,22331,22000,18504,8,0
The Clinton Family Foundation,,29 Santa Ana Dr,,Salinas,CA,93901-4135,United States,8314225794,,,,,250940,18506,5,0
Aspen Parent Faculty Association,,1870 Oberlin Ave,,Thousand Oaks,CA,91360-2046,United States,310-809-5588,,,,87917,,18595,2,0
FOUNDATION FOR INDEPENDENT VOTER EDUCATION,,2700 Adams Ave Ste 202,,San Diego,CA,92116-1367,United States,619-207-4618,,beth@independentvoterproject.org,https://independentvoterproject.org/five,75285,25000,18605,2,0
Ross Mckee Foundation for the Musical Arts,Nicholas Pavkovic,257 Dorland St,,San Francisco,CA,94114-2024,United States,408-797-7088,,executivedirector@rossmckeefoundation.org,http://www.rossmckeefoundation.org,967232,56285,18650,9,0
Paso Robles Horse Park Foundation Inc,,3801 Hughes Pkwy,,Paso Robles,CA,93446-8591,United States,805-238-1110,,,http://PASOROBLESHORSEPARK.COM,11597117,,18670,3,0
The Carolyn Martinez Private Foundation,,4581 Waterstone Dr,,Roseville,CA,95747-6362,United States,916-749-4798,,,http://WWW.CAROLYNMARTINEZFOUNDATION.,15877,2060,18675,7,0
Joseph B Patterson Foundation,,16740 Monte Hermoso Dr,,Pacific Palisades,CA,90272-1908,United States,3105562496,,,,152101,10565,18750,19,0
The Louie Family Foundation,,1950 Lorain Rd,,San Marino,CA,91108-2547,United States,626-800-8424,,,,189367,30700,18750,13,0
Formosa Titan Foundation,,2190 Homet Rd,,San Marino,CA,91108-1324,United States,626-755-8419,,,,,30275,18750,11,0
La Art House Foundation,,355 S Grand Ave Ste 1710,,Los Angeles,CA,90071-1532,United States,2136838790,,,,476895,163840,18750,4,0
Run Seal Beach,,PO Box 190,,Seal Beach,CA,90740-0190,United States,310-489-4021,,,http://www.runsealbeach.com,17658,80334,18770,3,0
Artnow International Inc,,200 California St Fl 5,,San Francisco,CA,94111-4342,United States,415-788-2929,,,http://WWW.ARTNOWINTERNATIONAL.ORG,4866236,17474359,18800,10,0
Swerdlow Family Foundation,,617 N Linden Dr,,Beverly Hills,CA,90210-3223,United States,310-274-2900,,,,20690,4331,18813,9,0
Woodland Hills Rotary Club Foundation,,C/O 23801 Calabasas Road 2012,,Calabasas,CA,91302,United States,818-346-8034,,,,779221,69264,18838,2,0
Dailey Family Foundation,,100 E Huntington Dr,,Monrovia,CA,91016-3458,United States,626-256-4900,,,,,50616,18850,13,0
